timestamp,trip_id,bus_id,stop_id,boarded,alighted,occupancy,dwell_min,hour,is_peak,travel_min_to_next
2026-02-01 06:00:00,BUS01_20260201_0600,BUS01,S1,5,0,5,1.3422407021413754,6,0,2.656587017844576
2026-02-01 06:04:00,BUS01_20260201_0600,BUS01,S2,7,1,11,1.701415786628679,6,0,4.984055044027262
2026-02-01 06:06:00,BUS01_20260201_0600,BUS01,S3,7,3,15,2.1840946346366796,6,0,4.147713274348472
2026-02-01 06:11:00,BUS01_20260201_0600,BUS01,S4,8,4,19,1.4434132158948478,6,0,3.211234995750065
2026-02-01 06:16:00,BUS01_20260201_0600,BUS01,S5,9,3,25,2.2511232407276554,6,0,5.8227578529542035
2026-02-01 06:21:00,BUS01_20260201_0600,BUS01,S6,9,4,30,1.633162717535098,6,0,6.082403966639695
2026-02-01 06:24:00,BUS01_20260201_0600,BUS01,S7,7,5,32,0.9159102240461897,6,0,3.734745692730136
2026-02-01 06:28:00,BUS01_20260201_0600,BUS01,S8,10,5,37,1.657916488347299,6,0,5.057091567646853
2026-02-01 06:32:00,BUS01_20260201_0600,BUS01,S9,11,9,39,2.095021966244934,6,0,5.053097588417377
2026-02-01 06:35:00,BUS01_20260201_0600,BUS01,S10,8,12,35,1.3849527200363685,6,0,4.352514274693109
2026-02-01 06:38:00,BUS01_20260201_0600,BUS01,S11,9,10,34,2.874843134735344,6,0,3.8682572034387137
2026-02-01 06:41:00,BUS01_20260201_0600,BUS01,S12,12,4,42,2.4582189176778666,6,0,4.579092417687788
2026-02-01 06:20:00,BUS01_20260201_0620,BUS01,S1,5,0,5,1.9236618652743296,6,0,2.6781329001906675
2026-02-01 06:24:00,BUS01_20260201_0620,BUS01,S2,7,1,11,2.733351322452309,6,0,4.973327396715311
2026-02-01 06:29:00,BUS01_20260201_0620,BUS01,S3,7,2,16,1.5186401036036146,6,0,2.516980181058572
2026-02-01 06:31:00,BUS01_20260201_0620,BUS01,S4,8,5,19,1.467447141194583,6,0,4.575740798118311
2026-02-01 06:33:00,BUS01_20260201_0620,BUS01,S5,9,5,23,2.1498955520640064,6,0,2.334913566000933
2026-02-01 06:36:00,BUS01_20260201_0620,BUS01,S6,9,6,26,1.785020426247799,6,0,6.4935015982126325
2026-02-01 06:38:00,BUS01_20260201_0620,BUS01,S7,7,7,26,1.2308578744777183,6,0,4.964429077568726
2026-02-01 06:42:00,BUS01_20260201_0620,BUS01,S8,10,9,27,1.5889664979249585,6,0,4.292058106998848
2026-02-01 06:47:00,BUS01_20260201_0620,BUS01,S9,11,5,33,0.9363891036405501,6,0,4.464470918249997
2026-02-01 06:50:00,BUS01_20260201_0620,BUS01,S10,8,6,35,1.8560831395715247,6,0,4.9507646282841495
2026-02-01 06:55:00,BUS01_20260201_0620,BUS01,S11,9,11,33,2.1058557878854054,6,0,5.807866461210947
2026-02-01 06:59:00,BUS01_20260201_0620,BUS01,S12,12,9,36,2.822785489070956,6,0,4.289127840802317
2026-02-01 06:40:00,BUS01_20260201_0640,BUS01,S1,5,0,5,2.096730961044933,6,0,5.062833550139021
2026-02-01 06:45:00,BUS01_20260201_0640,BUS01,S2,7,1,11,2.5197900368107904,6,0,5.699297372170502
2026-02-01 06:48:00,BUS01_20260201_0640,BUS01,S3,7,2,16,1.5988942323796038,6,0,4.115468404480629
2026-02-01 06:53:00,BUS01_20260201_0640,BUS01,S4,8,4,20,1.7957583018186352,6,0,3.5842240612176615
2026-02-01 06:56:00,BUS01_20260201_0640,BUS01,S5,9,5,24,1.497154951641788,6,0,3.400526940347462
2026-02-01 07:00:00,BUS01_20260201_0640,BUS01,S6,19,2,41,2.5322437913570246,7,1,5.250311100517649
2026-02-01 07:05:00,BUS01_20260201_0640,BUS01,S7,23,7,57,3.0243121295073228,7,1,8.61979060955235
2026-02-01 07:09:00,BUS01_20260201_0640,BUS01,S8,22,7,72,3.002703026203415,7,1,9.923801296036679
2026-02-01 07:14:00,BUS01_20260201_0640,BUS01,S9,23,19,76,2.47060017172426,7,1,5.083890207335859
2026-02-01 07:18:00,BUS01_20260201_0640,BUS01,S10,24,9,91,3.031426877835367,7,1,8.758022910778346
2026-02-01 07:21:00,BUS01_20260201_0640,BUS01,S11,27,11,107,2.5608604850945134,7,1,5.391810745419977
2026-02-01 07:25:00,BUS01_20260201_0640,BUS01,S12,30,17,120,3.6638273297953106,7,1,6.8322917191842585
2026-02-01 07:00:00,BUS01_20260201_0700,BUS01,S1,13,0,13,2.362514568535758,7,1,6.765700670107921
2026-02-01 07:04:00,BUS01_20260201_0700,BUS01,S2,15,2,26,2.750546687670515,7,1,4.6213635904253945
2026-02-01 07:09:00,BUS01_20260201_0700,BUS01,S3,17,9,34,2.1286613892355017,7,1,10.011431507296855
2026-02-01 07:14:00,BUS01_20260201_0700,BUS01,S4,19,5,48,3.374591537125821,7,1,8.387678865193422
2026-02-01 07:16:00,BUS01_20260201_0700,BUS01,S5,18,14,52,1.7042020306413956,7,1,6.935648853067459
2026-02-01 07:19:00,BUS01_20260201_0700,BUS01,S6,19,16,55,2.1179746270388042,7,1,7.524572762226402
2026-02-01 07:21:00,BUS01_20260201_0700,BUS01,S7,23,16,62,3.516267553559212,7,1,4.996403276209073
2026-02-01 07:23:00,BUS01_20260201_0700,BUS01,S8,22,8,76,2.5662402529740835,7,1,7.583045406910753
2026-02-01 07:25:00,BUS01_20260201_0700,BUS01,S9,23,11,88,3.2253238867069633,7,1,6.132419125466551
2026-02-01 07:27:00,BUS01_20260201_0700,BUS01,S10,24,11,101,3.0173465099164756,7,1,8.966250448650044
2026-02-01 07:29:00,BUS01_20260201_0700,BUS01,S11,27,34,94,3.2003839926699027,7,1,7.104669558611654
2026-02-01 07:31:00,BUS01_20260201_0700,BUS01,S12,30,17,107,4.226240830834659,7,1,5.9645300985164225
2026-02-01 07:20:00,BUS01_20260201_0720,BUS01,S1,13,0,13,1.3818286338812023,7,1,7.231161179845697
2026-02-01 07:23:00,BUS01_20260201_0720,BUS01,S2,15,3,25,2.4930208545197954,7,1,5.131032157231612
2026-02-01 07:26:00,BUS01_20260201_0720,BUS01,S3,17,5,37,2.1471978456755325,7,1,8.282719563854716
2026-02-01 07:28:00,BUS01_20260201_0720,BUS01,S4,19,12,44,2.630694354334218,7,1,8.41676670644706
2026-02-01 07:33:00,BUS01_20260201_0720,BUS01,S5,18,9,53,2.004813499833793,7,1,8.992019238330194
2026-02-01 07:38:00,BUS01_20260201_0720,BUS01,S6,19,7,65,2.5417626203990222,7,1,7.49181190956612
2026-02-01 07:43:00,BUS01_20260201_0720,BUS01,S7,23,20,68,3.138032157782345,7,1,8.728317343026177
2026-02-01 07:45:00,BUS01_20260201_0720,BUS01,S8,22,10,80,3.2586218548392507,7,1,6.4794607272622065
2026-02-01 07:50:00,BUS01_20260201_0720,BUS01,S9,23,10,93,2.7328628592378337,7,1,10.031508834778798
2026-02-01 07:54:00,BUS01_20260201_0720,BUS01,S10,24,16,101,2.5807455571903413,7,1,4.843276459647157
2026-02-01 07:57:00,BUS01_20260201_0720,BUS01,S11,27,29,99,2.7962805120161316,7,1,9.080077883423492
2026-02-01 08:01:00,BUS01_20260201_0720,BUS01,S12,27,15,111,3.757729396256298,8,1,9.011088453694866
2026-02-01 07:40:00,BUS01_20260201_0740,BUS01,S1,13,0,13,2.0202720870025117,7,1,4.843716102471971
2026-02-01 07:43:00,BUS01_20260201_0740,BUS01,S2,15,4,24,1.9934354089400554,7,1,8.036301331662315
2026-02-01 07:47:00,BUS01_20260201_0740,BUS01,S3,17,5,36,2.7542203009334516,7,1,7.117706849706858
2026-02-01 07:49:00,BUS01_20260201_0740,BUS01,S4,19,6,49,2.5413804115055876,7,1,8.614198542214183
2026-02-01 07:51:00,BUS01_20260201_0740,BUS01,S5,18,16,51,2.0795276924616646,7,1,4.632454552529338
2026-02-01 07:55:00,BUS01_20260201_0740,BUS01,S6,19,16,54,2.4305209803899603,7,1,8.613586782541738
2026-02-01 08:00:00,BUS01_20260201_0740,BUS01,S7,22,15,61,2.7380761791662467,8,1,7.582643928157067
2026-02-01 08:05:00,BUS01_20260201_0740,BUS01,S8,22,19,64,1.631012389841792,8,1,5.597789395787141
2026-02-01 08:08:00,BUS01_20260201_0740,BUS01,S9,25,14,75,2.7899253732976246,8,1,5.103577557609972
2026-02-01 08:11:00,BUS01_20260201_0740,BUS01,S10,27,14,88,2.5304431499059175,8,1,7.996126430597633
2026-02-01 08:13:00,BUS01_20260201_0740,BUS01,S11,27,16,99,3.4891780905614627,8,1,9.40018529741593
2026-02-01 08:17:00,BUS01_20260201_0740,BUS01,S12,27,17,109,3.2478398489120197,8,1,6.33223280993297
2026-02-01 08:00:00,BUS01_20260201_0800,BUS01,S1,13,0,13,2.0293327887589228,8,1,6.741518880355994
2026-02-01 08:05:00,BUS01_20260201_0800,BUS01,S2,14,1,26,2.9262313583976116,8,1,9.892503082088362
2026-02-01 08:09:00,BUS01_20260201_0800,BUS01,S3,17,7,36,2.692808366957772,8,1,8.215073399737513
